origin	sample	time [min]	experiment	organism	c(acceptor) [mM]	acceptor	c(donor) [mM]	donor	dilution factor
DL5	DL13	0	2	DSM413	0,5	NO3	1	acetate	
DL6	DL14	0	2	DSM413	0,5	NO3	1	acetate	
DL7	DL15	0	2	DSM413	1	NO2	1	acetate	
DL8	DL16	0	2	DSM413	1	NO2	1	acetate	
DL9	DL17	0	2	LMG6923	0,25	NO3	1	acetate	
DL10	DL18	0	2	LMG6923	0,25	NO3	1	acetate	
DL11	DL19	0	2	LMG6923	0,25	NO2	1	acetate	
DL12	DL20	0	2	LMG6923	0,25	NO2	1	acetate	
DL5	DL21	16	2	DSM413	0,5	NO3	1	acetate	5
DL6	DL22	16	2	DSM413	0,5	NO3	1	acetate	5
DL7	DL23	16	2	DSM413	1	NO2	1	acetate	5
DL8	DL24	16	2	DSM413	1	NO2	1	acetate	5
DL9	DL25	16	2	LMG6923	0,25	NO3	1	acetate	5
DL10	DL26	16	2	LMG6923	0,25	NO3	1	acetate	5
DL11	DL27	16	2	LMG6923	0,25	NO2	1	acetate	5
DL12	DL28	16	2	LMG6923	0,25	NO2	1	acetate	5
DL5	DL29	42	2	DSM413	0,5	NO3	1	acetate	
DL6	DL30	42	2	DSM413	0,5	NO3	1	acetate	
DL7	DL31	42	2	DSM413	1	NO2	1	acetate	
DL8	DL32	42	2	DSM413	1	NO2	1	acetate	
DL9	DL33	42	2	LMG6923	0,25	NO3	1	acetate	
DL10	DL34	42	2	LMG6923	0,25	NO3	1	acetate	
DL11	DL35	42	2	LMG6923	0,25	NO2	1	acetate	
DL12	DL36	42	2	LMG6923	0,25	NO2	1	acetate	
DL5	DL37	54	2	DSM413	0,5	NO3	1	acetate	5
DL6	DL38	54	2	DSM413	0,5	NO3	1	acetate	5
DL7	DL39	54	2	DSM413	1	NO2	1	acetate	5
DL8	DL40	54	2	DSM413	1	NO2	1	acetate	5
DL9	DL41	54	2	LMG6923	0,25	NO3	1	acetate	5
DL10	DL42	54	2	LMG6923	0,25	NO3	1	acetate	5
DL11	DL43	54	2	LMG6923	0,25	NO2	1	acetate	5
DL12	DL44	54	2	LMG6923	0,25	NO2	1	acetate	5
DL5	DL45	76	2	DSM413	0,5	NO3	1	acetate	
DL6	DL46	76	2	DSM413	0,5	NO3	1	acetate	
DL7	DL47	76	2	DSM413	1	NO2	1	acetate	
DL8	DL48	76	2	DSM413	1	NO2	1	acetate	
DL9	DL49	76	2	LMG6923	0,25	NO3	1	acetate	
DL10	DL50	76	2	LMG6923	0,25	NO3	1	acetate	
DL11	DL51	76	2	LMG6923	0,25	NO2	1	acetate	
DL12	DL52	76	2	LMG6923	0,25	NO2	1	acetate	
DL5	DL53	89	2	DSM413	0,5	NO3	1	acetate	2
DL6	DL54	89	2	DSM413	0,5	NO3	1	acetate	2
DL7	DL55	89	2	DSM413	1	NO2	1	acetate	2
DL8	DL56	89	2	DSM413	1	NO2	1	acetate	2
DL9	DL57	89	2	LMG6923	0,25	NO3	1	acetate	2
DL10	DL58	89	2	LMG6923	0,25	NO3	1	acetate	2
DL11	DL59	89	2	LMG6923	0,25	NO2	1	acetate	2
DL12	DL60	89	2	LMG6923	0,25	NO2	1	acetate	2
DL5	DL61	107	2	DSM413	0,5	NO3	1	acetate	
DL6	DL62	107	2	DSM413	0,5	NO3	1	acetate	
DL7	DL63	107	2	DSM413	1	NO2	1	acetate	
DL8	DL64	107	2	DSM413	1	NO2	1	acetate	
DL9	DL65	107	2	LMG6923	0,25	NO3	1	acetate	
DL10	DL66	107	2	LMG6923	0,25	NO3	1	acetate	
DL11	DL67	107	2	LMG6923	0,25	NO2	1	acetate	
DL12	DL68	107	2	LMG6923	0,25	NO2	1	acetate	
DL5	DL69	115	2	DSM413	0,5	NO3	1	acetate	2
DL6	DL70	115	2	DSM413	0,5	NO3	1	acetate	2
DL7	DL71	115	2	DSM413	1	NO2	1	acetate	2
DL8	DL72	115	2	DSM413	1	NO2	1	acetate	2
DL9	DL73	115	2	LMG6923	0,25	NO3	1	acetate	2
DL10	DL74	115	2	LMG6923	0,25	NO3	1	acetate	2
DL11	DL75	115	2	LMG6923	0,25	NO2	1	acetate	2
DL12	DL76	115	2	LMG6923	0,25	NO2	1	acetate	2
